,brand,model,year,price,color,condition,transmission,fuel_type,mileage
296,Toyota,Corolla,2017,"$16,400.00",Blue,Used,NaN,Gasoline,"45,079"
297,Kia,Forte,2013,"$3,995.00",Silver,Used,Automatic,Gasoline,"221,150"
298,Toyota,Highlander,2015,"$27,400.00",Gold,Used,NaN,Gasoline,"93,005"
299,Toyota,RAV4,2017,"$19,900.00",Grey,Used,NaN,Gasoline,"66,128"
300,Mazda,Mazda3 Sport,2020,$230.00,NaN,Lease Takeover,Automatic,Gasoline,"10,600"
301,Hyundai,Genesis Coupe,2010,"$5,995.00",Grey,Used,Automatic,Gasoline,"245,800"
302,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
303,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
304,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
305,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
306,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
307,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
308,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
309,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
310,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
311,Ford,Escape,2013,"$8,495.00",Silver,Used,Automatic,Gasoline,"177,139"
312,Mercedes-Benz,GLC,2018,"$37,998.00",Silver,Used,Automatic,Gasoline,"63,102"
313,Kia,Optima,2014,"$10,688.00",White,Used,Automatic,Gasoline,"81,855"
314,Subaru,Forester,2010,"$3,500.00",Green,Used,Automatic,Gasoline,"199,500"
315,Jeep,Wrangler,2016,"$29,999.00",Blue,Used,NaN,Gasoline,"130,000"
316,Subaru,Outback,2011,"$3,500.00",Black,Used,Automatic,Gasoline,"300,000"
317,GMC,Terrain,2019,"$33,995.00",White,Used,Automatic,Other,"38,143"
318,Hyundai,Elantra,2008,"$3,000.00",Red,Used,Automatic,Gasoline,"190,000"
319,Honda,Odyssey,2017,"$25,595.00",Other,Used,Automatic,Other,"107,049"
320,Mazda,Other,2006,"$2,495.00",Grey,Used,Automatic,Gasoline,"287,100"
321,Toyota,Corolla,2017,"$16,900.00",White,Used,NaN,Gasoline,"95,547"
322,Volkswagen,Jetta,2010,"$3,495.00",Black,Used,Manual,Gasoline,"185,450"
323,Audi,A8,2014,"$25,999.00",Black,Used,NaN,Gasoline,"122,408"
324,Jeep,Wrangler,2016,"$29,999.00",Blue,Used,NaN,Gasoline,"130,000"
325,Nissan,Versa,2014,"$8,595.00",Other,Used,Automatic,Other,"122,179"
